,Sexo;Edad;Tasa de riesgo de pobreza con umbral fijo año 2008;Periodo;Total
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;21,9.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;22,7.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;25,7.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;27,1.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;27,3.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;25,8.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;23,3.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;20,5.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;17,3.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;17,2.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;17,1.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;28,4.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;27,8.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;30,
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;28,5.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;31,1.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;29,6.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;33,
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;34,9.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;36,9.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;38,8.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;35,2.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;32,
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;30,8.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;28,7.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;28,1.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;26,8.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;28,1.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;26,4.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;29,4.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;28,5.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;30,
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;28,3.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;31,2.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;34,7.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;36,5.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;38,1.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;35,6.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;32,7.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;30,4.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;27,3.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;28,6.0
Ambos sexos;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;27,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;21,3.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;22,3.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;25,6.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;23,6.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;29,9.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;31,8.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;32,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;36,4.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;36,9.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;36,4.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;31,8.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;30,1.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;24,8.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;21,3.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;17,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;18,1.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;20,
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;20,5.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;24,4.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;22,9.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;29,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;30,9.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;30,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;35,4.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;36,5.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;35,3.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;32,
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;29,8.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;25,
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;20,7.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;17,6.0
Ambos sexos;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;18,6.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;18,5.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;19,2.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;22,
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;20,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;22,5.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;22,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;24,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;27,5.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;28,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;30,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;28,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;25,2.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;22,5.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;18,7.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;17,6.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;17,6.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;18,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;18,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;20,9.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;19,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;21,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;21,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;22,3.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;26,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;27,5.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;29,3.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;28,
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;25,1.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;21,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;17,4.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;17,8.0
Ambos sexos;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;17,4.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;17,7.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;18,
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;20,7.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;20,
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;22,6.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;24,1.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;24,6.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;27,7.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;27,9.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;28,4.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;24,9.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;22,2.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;19,4.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;16,3.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;15,5.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;15,2.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;14,5.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;14,5.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;17,1.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;16,8.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;19,5.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;20,7.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;20,9.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;24,2.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;25,4.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;24,4.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;22,2.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;19,1.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;16,1.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;13,3.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;12,5.0
Ambos sexos;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;12,
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;18,2.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;18,7.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;19,2.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;19,6.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;22,
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;23,4.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;22,3.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;22,9.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;23,5.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;23,6.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;23,
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;22,8.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;23,9.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;21,4.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;23,2.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;25,5.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;10,2.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;10,
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;10,4.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;11,3.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;11,4.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;12,4.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;12,5.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;12,
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;13,5.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;12,3.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;13,6.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;12,2.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;12,1.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;9,8.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;11,6.0
Ambos sexos;65 y más años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;12,
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;28,7.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;27,9.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;30,1.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;28,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;31,5.0
