Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label,asimetria_de_trafico
3,2,0,4000000.0,666666.6667,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
1,2,0,12000000.0,2000000.0,BENIGN,1.0
105,1,1,114285.7143,19047.61905,BENIGN,0.0
66,1,1,181818.1818,30303.0303,BENIGN,0.0
68,1,1,176470.5882,29411.76471,BENIGN,0.0
48,2,0,250000.0,41666.66667,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
16,1,1,750000.0,125000.0,BENIGN,0.0
63,1,1,190476.1905,31746.03175,BENIGN,0.0
17,1,1,705882.3529,117647.0588,BENIGN,0.0
123,1,1,97560.97561,16260.1626,BENIGN,0.0
4,2,0,3000000.0,500000.0,BENIGN,1.0
4,2,0,3000000.0,500000.0,BENIGN,1.0
49,2,0,244897.9592,40816.32653,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
46,1,1,0.0,43478.26087,BENIGN,0.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
251170,3,0,71.66460963,11.9441016,BENIGN,1.0
49,2,0,244897.9592,40816.32653,BENIGN,1.0
62,1,1,0.0,32258.06452,BENIGN,0.0
175,2,1,102857.1429,17142.85714,BENIGN,0.3333333333333333
37,1,1,0.0,54054.05405,BENIGN,0.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
96,1,1,125000.0,20833.33333,BENIGN,0.0
1,2,0,12000000.0,2000000.0,BENIGN,1.0
48,2,0,250000.0,41666.66667,BENIGN,1.0
1,2,0,12000000.0,2000000.0,BENIGN,1.0
999588,2,0,12.00494604,2.00082434,BENIGN,1.0
75,1,1,160000.0,26666.66667,BENIGN,0.0
32,1,1,375000.0,62500.0,BENIGN,0.0
71693,2,2,3487.09079,55.79345264,BENIGN,0.0
60738,2,2,4511.179163,65.85663012,BENIGN,0.0
126188,20,25,4881.605224,356.6107712,BENIGN,0.1111111111111111
8003,15,6,2486192.678,2624.015994,BENIGN,0.42857142857142855
1,2,0,617000000.0,2000000.0,BENIGN,1.0
50,1,2,0.0,60000.0,BENIGN,0.3333333333333333
75,3,1,106666.6667,53333.33333,BENIGN,0.5
208,4,0,221153.8462,19230.76923,BENIGN,1.0
514004,3,1,11.67306091,7.782040607,BENIGN,0.5
60130920,5,3,29.08653318,0.133043033,BENIGN,0.25
60130912,5,3,30.46685871,0.133043051,BENIGN,0.25
3895966,5,1,46.45831098,1.540054508,BENIGN,0.6666666666666666
3895242,5,1,46.46694608,1.540340754,BENIGN,0.6666666666666666
3896308,5,1,46.45423308,1.539919329,BENIGN,0.6666666666666666
3895052,5,1,46.46921273,1.540415892,BENIGN,0.6666666666666666
3896461,5,1,46.45240899,1.539858862,BENIGN,0.6666666666666666
31020664,8,4,26.56293882,0.386838915,BENIGN,0.3333333333333333
83718,4,2,5781.313457,71.66917509,BENIGN,0.3333333333333333
10706606,29,24,1154.614263,4.950214849,BENIGN,0.09433962264150944
60166984,6,4,80.27658491,0.16620411,BENIGN,0.2
24027,2,2,6992.133849,166.4793774,BENIGN,0.0
1029807,3,3,17.47900335,5.826334449,BENIGN,0.0
2979847,2,1,0.0,1.006763099,BENIGN,0.3333333333333333
28315,1,1,423.8036376,70.63393961,BENIGN,0.0
28466,1,1,421.5555399,70.25925666,BENIGN,0.0
101027175,14,12,19.99462026,0.257356498,BENIGN,0.07692307692307693
330,2,2,824242.4242,12121.21212,BENIGN,0.0
221,2,2,814479.638,18099.54751,BENIGN,0.0
302,2,2,1754966.887,13245.03311,BENIGN,0.0
283,2,2,1872791.519,14134.27562,BENIGN,0.0
166,2,2,2240963.855,24096.38554,BENIGN,0.0
275,2,2,1345454.545,14545.45455,BENIGN,0.0
266,2,2,1526315.789,15037.59398,BENIGN,0.0
102033,2,2,2548.195192,39.20300295,BENIGN,0.0
51453,2,2,5208.637009,77.74085087,BENIGN,0.0
1140,2,2,278947.3684,3508.77193,BENIGN,0.0
293,2,2,1365187.713,13651.87713,BENIGN,0.0
1333970,41,42,7210.057198,62.22028981,BENIGN,0.012048192771084338
187,1,1,0.0,10695.18717,BENIGN,0.0
1335604,41,42,7009.562715,62.14416848,BENIGN,0.012048192771084338
111,1,1,0.0,18018.01802,BENIGN,0.0
143347,47,60,767898.8748,746.4404557,BENIGN,0.12149532710280374
143899,46,58,774918.5192,722.7291364,BENIGN,0.11538461538461539
142605,45,58,771894.3936,722.274815,BENIGN,0.1262135922330097
142499,46,53,711415.5187,694.7417175,BENIGN,0.0707070707070707
23828,27,31,2498321.303,2434.11113,BENIGN,0.06896551724137931
119090,23,28,387891.5106,428.2475439,BENIGN,0.09803921568627451
23841,26,31,2496707.353,2390.83931,BENIGN,0.08771929824561403
199037,47,63,509322.3873,552.661063,BENIGN,0.14545454545454545
142923,46,60,678771.0865,741.6580956,BENIGN,0.1320754716981132
446800,23,28,100147.7171,114.1450313,BENIGN,0.09803921568627451
141851,47,55,704443.3948,719.0643704,BENIGN,0.0784313725490196
145376,51,60,767086.7268,763.5373101,BENIGN,0.08108108108108109
142904,47,56,739699.3786,720.7635895,BENIGN,0.08737864077669903
142508,50,59,741881.1575,764.8693407,BENIGN,0.08256880733944955
142561,48,59,782149.3957,750.5559024,BENIGN,0.102803738317757
142389,52,60,783220.614,786.5776148,BENIGN,0.07142857142857142
142403,45,58,739036.3967,723.2993687,BENIGN,0.1262135922330097
142089,45,55,743942.1771,703.7842479,BENIGN,0.1
142098,49,58,743979.5071,753.0014497,BENIGN,0.08411214953271028
128912,21,26,347105.0019,364.5897977,BENIGN,0.10638297872340426
143215,50,61,778703.3481,775.0584785,BENIGN,0.0990990990990991
185921,48,58,576470.6515,570.1346271,BENIGN,0.09433962264150944
131198,29,50,716306.651,602.1433254,BENIGN,0.26582278481012656
187746,48,64,539984.8732,596.5506589,BENIGN,0.14285714285714285
188450,47,59,537935.792,562.4834174,BENIGN,0.11320754716981132
300724,49,65,346776.4462,379.0851412,BENIGN,0.14035087719298245
195652,49,60,547829.8203,557.1116063,BENIGN,0.10091743119266056
143173,51,58,738477.2269,761.3167287,BENIGN,0.06422018348623854
142748,47,57,771121.1365,728.5566173,BENIGN,0.09615384615384616
142235,47,57,722860.0555,731.1843077,BENIGN,0.09615384615384616
152597,42,51,635582.613,609.4484164,BENIGN,0.0967741935483871
142263,47,58,743158.7974,738.0696316,BENIGN,0.10476190476190476
142478,49,57,741995.2554,743.9745083,BENIGN,0.07547169811320754
125417,29,55,795506.1913,669.7656618,BENIGN,0.30952380952380953
188411,43,59,568724.756,541.3696653,BENIGN,0.1568627450980392
141785,44,55,670726.8047,698.2402934,BENIGN,0.1111111111111111
155181,78,106,1400686.94,1185.712168,BENIGN,0.15217391304347827
200946,47,56,504483.7917,512.5755178,BENIGN,0.08737864077669903
142298,45,55,742765.1829,702.7505657,BENIGN,0.1
196861,44,58,544343.4708,518.132083,BENIGN,0.13725490196078433
197144,45,56,514152.0919,512.3158706,BENIGN,0.10891089108910891
142230,53,61,784138.3674,801.5186669,BENIGN,0.07017543859649122
143922,46,59,774711.302,729.561846,BENIGN,0.12380952380952381
142755,47,59,771125.3546,742.5309096,BENIGN,0.11320754716981132
124970,31,50,775178.0427,648.1555573,BENIGN,0.2345679012345679
142117,47,54,733789.7648,710.6820437,BENIGN,0.06930693069306931
142224,45,54,733111.1486,696.0850489,BENIGN,0.09090909090909091
143176,48,57,738336.034,733.3631335,BENIGN,0.08571428571428572
142472,47,65,782637.992,786.1193778,BENIGN,0.16071428571428573
185687,47,59,577132.4864,570.8531023,BENIGN,0.11320754716981132
142746,42,56,771089.9079,686.5341235,BENIGN,0.14285714285714285
185922,46,58,576370.7361,559.3743613,BENIGN,0.11538461538461539
143435,49,58,767427.7547,745.9825008,BENIGN,0.08411214953271028
186578,48,62,543365.2413,589.565758,BENIGN,0.12727272727272726
190175,49,60,563575.654,573.1563034,BENIGN,0.10091743119266056
142210,44,56,784037.6907,703.18543,BENIGN,0.12
142963,50,61,780075.9637,776.4246693,BENIGN,0.0990990990990991
142878,48,61,780498.0473,762.8886183,BENIGN,0.11926605504587157
190109,47,54,571430.0743,531.2741638,BENIGN,0.06930693069306931
143397,49,59,797785.1698,753.1538317,BENIGN,0.09259259259259259
250001,19,27,190567.2377,183.999264,BENIGN,0.17391304347826086
188539,45,59,560764.6163,551.6100117,BENIGN,0.1346153846153846
142469,48,59,782696.5866,751.0405772,BENIGN,0.102803738317757
23598,26,30,2400288.16,2373.082465,BENIGN,0.07142857142857142
142921,49,58,739695.3562,748.6653466,BENIGN,0.08411214953271028
142553,44,55,751818.6218,694.4785448,BENIGN,0.1111111111111111
142823,48,53,740160.8985,707.1690134,BENIGN,0.04950495049504951
143432,49,61,777483.4068,766.9139383,BENIGN,0.10909090909090909
153205,69,116,1418478.509,1207.532391,BENIGN,0.25405405405405407
118987,22,27,376057.8887,411.8096935,BENIGN,0.10204081632653061
143445,48,59,747227.1602,745.930496,BENIGN,0.102803738317757
24781,25,29,2226463.823,2179.088818,BENIGN,0.07407407407407407
142625,45,55,771744.0841,701.1393514,BENIGN,0.1
144147,47,58,773502.05,728.4230681,BENIGN,0.10476190476190476
312417,24,31,157129.7337,176.046758,BENIGN,0.12727272727272726
197560,44,56,542387.1229,506.1753391,BENIGN,0.12
207397,48,55,516777.0026,496.6320631,BENIGN,0.06796116504854369
144045,48,58,754028.2551,735.8811483,BENIGN,0.09433962264150944
201971,47,57,501923.5435,514.9254101,BENIGN,0.09615384615384616
188080,43,56,562101.2335,526.3717567,BENIGN,0.13131313131313133
142377,46,62,752790.1276,758.5494848,BENIGN,0.14814814814814814
196656,44,58,522862.2569,518.6721992,BENIGN,0.13725490196078433
141942,47,56,744754.8999,725.6485043,BENIGN,0.08737864077669903
142878,50,61,780498.0473,776.8865746,BENIGN,0.0990990990990991
125846,30,53,792794.3677,659.5362586,BENIGN,0.27710843373493976
119881,20,26,397410.7657,383.7138496,BENIGN,0.13043478260869565
23547,25,28,2405232.089,2250.817514,BENIGN,0.05660377358490566
142554,47,57,741515.4959,729.5481011,BENIGN,0.09615384615384616
142702,44,53,720410.3657,679.7381957,BENIGN,0.09278350515463918
142790,45,57,770894.3203,714.3357378,BENIGN,0.11764705882352941
142342,41,50,732461.2553,639.305335,BENIGN,0.0989010989010989
142780,47,57,740383.8073,728.3933324,BENIGN,0.09615384615384616
142852,49,56,780598.1015,735.026461,BENIGN,0.06666666666666667
142799,49,59,760649.5844,756.3078173,BENIGN,0.09259259259259259
142500,49,59,741880.7018,757.8947368,BENIGN,0.09259259259259259
459291,46,60,239651.9853,230.790501,BENIGN,0.1320754716981132
196158,46,54,524220.2714,509.7931259,BENIGN,0.08
143476,49,57,767250.2718,738.7995205,BENIGN,0.07547169811320754
118873,23,28,388599.5979,429.0293002,BENIGN,0.09803921568627451
23773,26,31,2503848.904,2397.678038,BENIGN,0.08771929824561403
142438,45,57,772799.3934,716.1010405,BENIGN,0.11764705882352941
152273,68,103,1427239.235,1122.983063,BENIGN,0.2046783625730994
142918,48,58,780153.6545,741.6840426,BENIGN,0.09433962264150944
142342,48,56,763091.7087,730.6346686,BENIGN,0.07692307692307693
196159,46,61,546260.9414,545.475864,BENIGN,0.14018691588785046
188391,46,61,576641.1347,567.9676842,BENIGN,0.14018691588785046
141887,43,58,745001.3039,711.8340651,BENIGN,0.1485148514851485
142743,50,58,781278.2413,756.604527,BENIGN,0.07407407407407407
143077,48,58,789588.8228,740.8598167,BENIGN,0.09433962264150944
145825,29,52,684176.2386,555.460312,BENIGN,0.2839506172839506
142301,44,55,742833.8522,695.7083928,BENIGN,0.1111111111111111
143379,50,60,777812.6504,767.1974278,BENIGN,0.09090909090909091
394746,48,56,271501.1678,263.4605544,BENIGN,0.07692307692307693
62079,8,3,21037.71001,177.1935759,BENIGN,0.45454545454545453
122255,22,30,401537.7694,425.3404769,BENIGN,0.15384615384615385
142443,47,55,721846.6334,716.075904,BENIGN,0.0784313725490196
23501,24,27,2409088.975,2170.12042,BENIGN,0.058823529411764705
143365,48,61,767760.611,760.2971437,BENIGN,0.11926605504587157
142825,47,57,770705.4087,728.1638369,BENIGN,0.09615384615384616
119793,23,31,409790.2215,450.7775913,BENIGN,0.14814814814814814
142885,46,57,790565.8397,720.8594324,BENIGN,0.10679611650485436
23422,25,33,2356246.264,2476.304329,BENIGN,0.13793103448275862
142724,43,62,730626.9443,735.685659,BENIGN,0.18095238095238095
143161,47,53,788999.7974,698.5142602,BENIGN,0.06
196340,49,60,545849.0374,555.1594173,BENIGN,0.10091743119266056
118573,21,26,377370.9023,396.3802889,BENIGN,0.10638297872340426
189314,48,59,566138.7959,565.198559,BENIGN,0.102803738317757
142909,40,52,729555.1715,643.7663128,BENIGN,0.13043478260869565
144762,42,56,690236.388,676.9732388,BENIGN,0.14285714285714285
142378,45,56,742474.2587,709.379258,BENIGN,0.10891089108910891
24067,23,28,2292018.116,2119.084223,BENIGN,0.09803921568627451
119537,20,28,398554.4225,401.5493111,BENIGN,0.16666666666666666
142424,49,58,772875.3581,751.2778745,BENIGN,0.08411214953271028
142848,49,60,760430.6676,763.0488351,BENIGN,0.10091743119266056
23488,22,27,2410507.493,2086.171662,BENIGN,0.10204081632653061
131864,40,49,735560.8809,674.9378147,BENIGN,0.10112359550561797
142592,44,56,741359.9641,701.3016158,BENIGN,0.12
143358,43,59,737398.6802,711.5054619,BENIGN,0.1568627450980392
142675,49,63,781608.5509,785.0008761,BENIGN,0.125
142797,47,58,740337.6822,735.3095653,BENIGN,0.10476190476190476
142740,47,58,771122.3203,735.6031946,BENIGN,0.10476190476190476
142247,42,56,743115.8478,688.9424733,BENIGN,0.14285714285714285
195966,47,57,517304.0221,530.7043058,BENIGN,0.09615384615384616
186390,51,61,575052.3097,600.8906057,BENIGN,0.08928571428571429
143354,48,59,737461.1103,746.4040069,BENIGN,0.102803738317757
142817,39,49,699426.5389,616.1731447,BENIGN,0.11363636363636363
142734,52,61,781327.5043,791.6824303,BENIGN,0.07964601769911504
127932,27,50,757230.4037,601.8822499,BENIGN,0.2987012987012987
187229,46,58,580155.8519,555.4695053,BENIGN,0.11538461538461539
142653,49,61,781729.0909,771.1019046,BENIGN,0.10909090909090909
38668,4,1,13370.22861,129.305886,BENIGN,0.6
143726,49,58,735552.3705,744.4721206,BENIGN,0.08411214953271028
122712,42,52,790517.6348,766.021253,BENIGN,0.10638297872340426
234766,44,57,444178.4586,430.215619,BENIGN,0.12871287128712872
142541,51,68,782385.4189,834.8475176,BENIGN,0.14285714285714285
146679,43,53,720580.3148,654.4904179,BENIGN,0.10416666666666667
143835,41,52,714693.9201,646.5741996,BENIGN,0.11827956989247312
119714,19,26,410060.6445,375.8958852,BENIGN,0.15555555555555556
142820,47,53,730135.8353,700.1820473,BENIGN,0.06
189539,48,64,565466.7377,590.9074122,BENIGN,0.14285714285714285
142826,46,58,770658.0034,728.1587386,BENIGN,0.11538461538461539
23822,23,28,2559314.919,2140.87818,BENIGN,0.09803921568627451
187835,48,56,570596.5342,553.6774297,BENIGN,0.07692307692307693
142291,43,60,732723.7844,723.8686916,BENIGN,0.1650485436893204
143701,47,62,755749.786,758.5194258,BENIGN,0.13761467889908258
196404,48,57,516180.9332,534.6123297,BENIGN,0.08571428571428572
142241,43,54,702427.5701,681.9412124,BENIGN,0.1134020618556701
224404,44,58,490526.0156,454.5373523,BENIGN,0.13725490196078433
143577,43,55,756318.909,682.5605773,BENIGN,0.12244897959183673
267407,75,105,812865.7814,673.1312195,BENIGN,0.16666666666666666
149954,50,55,714832.5486,700.2147325,BENIGN,0.047619047619047616
190688,47,60,562028.0248,561.1260279,BENIGN,0.12149532710280374
118946,21,25,400534.6964,386.7301128,BENIGN,0.08695652173913043
23623,28,32,2458959.489,2539.897557,BENIGN,0.06666666666666667
148237,48,60,752200.8675,728.5630443,BENIGN,0.1111111111111111
142601,45,57,781803.7742,715.2825015,BENIGN,0.11764705882352941
190581,48,59,562375.0531,561.4410671,BENIGN,0.102803738317757
144000,45,56,774333.3333,701.3888889,BENIGN,0.10891089108910891
142239,43,54,743157.6431,681.9508011,BENIGN,0.1134020618556701
143462,49,63,777279.0007,780.6945393,BENIGN,0.125
186148,48,55,575703.2039,553.3231622,BENIGN,0.06796116504854369
142726,49,60,740705.9681,763.7010776,BENIGN,0.10091743119266056
141542,44,54,726229.6703,692.373995,BENIGN,0.10204081632653061
109618,21,23,408199.3833,401.3939317,BENIGN,0.045454545454545456
188543,49,66,568453.8805,609.940438,BENIGN,0.14782608695652175
141771,47,55,735665.263,719.4701314,BENIGN,0.0784313725490196
216108,48,58,515964.2401,490.495493,BENIGN,0.09433962264150944
198167,44,52,518905.7714,484.4398916,BENIGN,0.08333333333333333
129383,42,50,749665.7212,711.0671417,BENIGN,0.08695652173913043
123065,40,51,788152.6023,739.4466339,BENIGN,0.12087912087912088
141527,45,53,746938.7467,692.4473775,BENIGN,0.08163265306122448
142160,47,58,784397.8616,738.6043894,BENIGN,0.10476190476190476
197510,49,57,513320.8445,536.681687,BENIGN,0.07547169811320754
143658,47,63,735817.0098,765.7074441,BENIGN,0.14545454545454545
197458,48,58,513425.6399,536.8230206,BENIGN,0.09433962264150944
187013,49,62,573136.6269,593.5416254,BENIGN,0.11711711711711711
142868,43,53,729890.5283,671.9489319,BENIGN,0.10416666666666667
153015,22,27,311355.0959,320.2300428,BENIGN,0.10204081632653061
82618,12,12,191072.1635,290.493597,BENIGN,0.0
143452,48,65,797479.2962,787.7199342,BENIGN,0.1504424778761062
24058,27,30,2534624.657,2369.274254,BENIGN,0.05263157894736842
198395,45,56,510970.5386,509.0854104,BENIGN,0.10891089108910891
118945,19,25,376190.6764,369.9188701,BENIGN,0.13636363636363635
142273,47,54,722666.9853,709.9027925,BENIGN,0.06930693069306931
142936,47,57,739533.7774,727.5983657,BENIGN,0.09615384615384616
142803,49,59,740306.5762,756.2866326,BENIGN,0.09259259259259259
187656,48,57,571140.8108,559.5344673,BENIGN,0.08571428571428572
143460,44,54,736832.5666,683.1172452,BENIGN,0.10204081632653061
23445,23,29,2332736.191,2217.95692,BENIGN,0.11538461538461539
118468,22,27,402150.7918,413.6138029,BENIGN,0.10204081632653061
142724,46,56,750917.8554,714.6660688,BENIGN,0.09803921568627451
142270,43,52,732916.2859,667.7444296,BENIGN,0.09473684210526316
122968,43,58,836022.3798,821.3518964,BENIGN,0.1485148514851485
142478,50,64,782689.2573,800.1235278,BENIGN,0.12280701754385964
143531,45,56,776821.7319,703.680738,BENIGN,0.10891089108910891
142245,42,56,732960.7368,688.95216,BENIGN,0.14285714285714285
118879,21,27,412940.8895,403.7719025,BENIGN,0.125
118011,21,26,403708.1289,398.2679581,BENIGN,0.10638297872340426
143745,49,59,775790.4623,751.3304811,BENIGN,0.09259259259259259
23739,25,28,2385778.676,2232.613,BENIGN,0.05660377358490566
23395,24,28,2358709.126,2222.697158,BENIGN,0.07692307692307693
142170,45,54,713104.0304,696.3494408,BENIGN,0.09090909090909091
143016,47,55,739120.0985,713.2069139,BENIGN,0.0784313725490196
35739,4,1,14465.98954,139.903187,BENIGN,0.6
313728,29,54,318014.3309,264.5603835,BENIGN,0.30120481927710846
118733,22,30,413448.6621,437.9574339,BENIGN,0.15384615384615385
23638,27,30,2620991.624,2411.37152,BENIGN,0.05263157894736842
143395,40,51,727040.6918,634.6106907,BENIGN,0.12087912087912088
188834,45,56,567450.7769,534.8613068,BENIGN,0.10891089108910891
143901,48,58,734616.1597,736.6175357,BENIGN,0.09433962264150944
142310,46,54,742744.7122,702.6913077,BENIGN,0.08
142471,49,63,742031.7117,786.1248956,BENIGN,0.125
143392,48,65,737223.834,788.0495425,BENIGN,0.1504424778761062
142776,43,53,730276.7972,672.3819129,BENIGN,0.10416666666666667
189269,49,56,566241.6983,554.765968,BENIGN,0.06666666666666667
142761,47,57,771092.9456,728.490274,BENIGN,0.09615384615384616
142255,47,59,743116.2349,745.1407683,BENIGN,0.11320754716981132
188499,46,59,568522.9099,557.0321328,BENIGN,0.12380952380952381
118899,22,29,412871.4287,428.9354831,BENIGN,0.13725490196078433
186555,46,57,574415.0519,552.115998,BENIGN,0.10679611650485436
196173,45,57,516696.997,519.9492285,BENIGN,0.11764705882352941
143040,48,58,769588.9262,741.0514541,BENIGN,0.09433962264150944
126748,31,52,787152.46,654.84268,BENIGN,0.25301204819277107
142635,41,55,731040.7684,673.0465874,BENIGN,0.14583333333333334
142665,50,59,741106.7886,764.0276171,BENIGN,0.08256880733944955
143050,47,66,769493.1842,789.9335897,BENIGN,0.168141592920354
142709,46,57,771331.8712,721.7484531,BENIGN,0.10679611650485436
144905,49,59,769662.8826,745.3158966,BENIGN,0.09259259259259259
143357,48,65,777932.0159,788.2419414,BENIGN,0.1504424778761062
142858,51,61,760419.4375,783.995296,BENIGN,0.08928571428571429
196534,48,57,515839.4985,534.2587033,BENIGN,0.08571428571428572
142928,48,57,759879.1,734.6356207,BENIGN,0.08571428571428572
123402,44,50,786194.7132,761.7380594,BENIGN,0.06382978723404255
142731,47,55,740637.9833,714.6310192,BENIGN,0.0784313725490196
127510,21,29,373633.4405,392.1261078,BENIGN,0.16
142497,49,59,782542.7904,757.9106929,BENIGN,0.09259259259259259
186963,48,60,573257.8104,577.6544022,BENIGN,0.1111111111111111
197861,46,54,512349.5787,505.4053098,BENIGN,0.08
142760,47,58,781059.1202,735.5001401,BENIGN,0.10476190476190476
23498,25,29,2471274.151,2298.067921,BENIGN,0.07407407407407407
142790,50,59,780979.0602,763.3587786,BENIGN,0.08256880733944955
194123,47,55,529746.604,525.440056,BENIGN,0.0784313725490196
142819,48,56,740181.6285,728.1944279,BENIGN,0.07692307692307693
186407,48,59,574967.6783,574.0127785,BENIGN,0.102803738317757
143033,47,66,769626.5897,790.0274762,BENIGN,0.168141592920354
195544,50,66,548101.706,593.2168719,BENIGN,0.13793103448275862
142215,44,53,743325.247,682.0658862,BENIGN,0.09278350515463918
142395,41,53,732146.4939,660.1355385,BENIGN,0.1276595744680851
142742,44,56,740538.8743,700.5646551,BENIGN,0.12
122673,39,49,790720.0443,717.354267,BENIGN,0.11363636363636363
187038,50,60,573060.0199,588.115784,BENIGN,0.09090909090909091
142470,46,60,772667.9301,744.0162841,BENIGN,0.1320754716981132
161,2,0,0.0,12422.36025,BENIGN,1.0
2198477,17,23,2681.856576,18.19441368,BENIGN,0.15
49,2,0,755102.0408,40816.32653,BENIGN,1.0
50486,1,1,0.0,39.61494276,BENIGN,0.0
51273,1,1,0.0,39.00688472,BENIGN,0.0
50722,1,1,0.0,39.43062182,BENIGN,0.0
50641,1,1,0.0,39.49369088,BENIGN,0.0
51022,1,1,0.0,39.198777,BENIGN,0.0
51245,1,1,0.0,39.02819787,BENIGN,0.0
50534,1,1,0.0,39.57731428,BENIGN,0.0
50884,1,1,0.0,39.30508608,BENIGN,0.0
50408,1,1,0.0,39.67624187,BENIGN,0.0
83784,1,1,0.0,23.87090614,BENIGN,0.0
50905,1,1,0.0,39.28887143,BENIGN,0.0
46728,1,1,0.0,42.80089026,BENIGN,0.0
50833,1,1,0.0,39.34452029,BENIGN,0.0
50448,1,1,0.0,39.64478275,BENIGN,0.0
116606690,18,18,82.23370374,0.308730142,BENIGN,0.0
91190,1,1,1052.747012,21.93222941,BENIGN,0.0
84776,1,1,1132.395961,23.59158252,BENIGN,0.0
3,2,0,17700000.0,666666.6667,BENIGN,1.0
22,13,0,29500000.0,590909.0909,BENIGN,1.0
313,2,2,945686.901,12779.55272,BENIGN,0.0
253,2,2,837944.664,15810.27668,BENIGN,0.0
188,2,2,1127659.574,21276.59574,BENIGN,0.0
246,2,2,1203252.033,16260.1626,BENIGN,0.0
260,2,2,815384.6154,15384.61538,BENIGN,0.0
275,2,2,1076363.636,14545.45455,BENIGN,0.0
25399,2,2,11102.79932,157.4865152,BENIGN,0.0
25871,2,2,11827.91543,154.6132735,BENIGN,0.0
186,2,2,1591397.849,21505.37634,BENIGN,0.0
189,2,2,1121693.122,21164.02116,BENIGN,0.0
61438,2,2,3385.526873,65.10628601,BENIGN,0.0
61664,2,2,4151.530877,64.86766995,BENIGN,0.0
290,2,2,1020689.655,13793.10345,BENIGN,0.0
229,2,2,925764.1921,17467.24891,BENIGN,0.0
266,2,2,1112781.955,15037.59398,BENIGN,0.0
257,2,2,824902.7237,15564.20233,BENIGN,0.0
259,2,2,1142857.143,15444.01544,BENIGN,0.0
199,2,2,1065326.633,20100.50251,BENIGN,0.0
255,2,2,831372.549,15686.27451,BENIGN,0.0
264,2,2,1121212.121,15151.51515,BENIGN,0.0
198,2,2,1070707.071,20202.0202,BENIGN,0.0
399,2,2,741854.6366,10025.06266,BENIGN,0.0
24629,2,2,8607.738844,162.4101669,BENIGN,0.0
320,2,2,925000.0,12500.0,BENIGN,0.0
262,2,2,809160.3053,15267.17557,BENIGN,0.0
60398,2,2,5629.325474,66.22735852,BENIGN,0.0
250,2,2,848000.0,16000.0,BENIGN,0.0
309,2,2,957928.8026,12944.98382,BENIGN,0.0
271,2,2,988929.8893,14760.1476,BENIGN,0.0
324,2,2,802469.1358,12345.67901,BENIGN,0.0
322,2,2,658385.0932,12422.36025,BENIGN,0.0
468,2,2,632478.6325,8547.008547,BENIGN,0.0
332,2,2,891566.2651,12048.19277,BENIGN,0.0
335,2,2,632835.8209,11940.29851,BENIGN,0.0
242,2,2,876033.0579,16528.92562,BENIGN,0.0
301,2,2,983388.7043,13289.03654,BENIGN,0.0
