,ranking,titulos,año,duracion,rating
182,183,Children of Heaven,1997,1h 29m,8.2
183,184,12 años de esclavitud,2013,2h 14m,8.1
184,185,Blade Runner,1982,1h 57m,8.1
185,186,Antes de amanecer,1995,1h 41m,8.1
186,187,El gran hotel Budapest,2014,1h 39m,8.1
187,188,Ben-Hur,1959,3h 32m,8.1
188,189,Barry Lyndon,1975,3h 5m,8.1
189,190,Perdida,2014,2h 29m,8.1
190,191,La quimera del oro,1925,1h 35m,8.1
191,192,Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,8.1
192,193,En el nombre del padre,1993,2h 13m,8.1
193,194,Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,8.1
194,195,El club de los poetas muertos,1989,2h 8m,8.1
195,196,La ley del silencio,1954,1h 48m,8.1
196,197,El maquinista de La General,1926,1h 18m,8.1
197,198,El cazador,1978,3h 3m,8.1
198,199,Relatos salvajes,2014,2h 2m,8.1
199,200,Mad Max: Furia en la carretera,2015,2h,8.1
200,201,El moderno Sherlock Holmes,1924,45m,8.2
201,202,"Monstruos, S.A.",2001,1h 32m,8.1
202,203,El tercer hombre,1949,1h 44m,8.1
203,204,Fresas salvajes,1957,1h 31m,8.1
204,205,El salario del miedo,1953,2h 11m,8.2
205,206,Tiburón,1975,2h 4m,8.1
206,207,Cómo entrenar a tu dragón,2010,1h 38m,8.1
207,208,Mary and Max,2009,1h 32m,8.1
208,209,Caballero sin espada,1939,2h 9m,8.1
209,210,Le Mans '66,2019,2h 32m,8.1
210,211,Ratatouille,2007,1h 51m,8.1
211,212,El séptimo sello,1957,1h 36m,8.1
212,213,Cuentos de Tokio,1953,2h 16m,8.1
213,214,La habitación,2015,1h 58m,8.1
214,215,El gran Lebowski,1998,1h 57m,8.1
215,216,Rocky,1976,2h,8.1
216,217,Logan,2017,2h 17m,8.1
217,218,Spotlight,2015,2h 9m,8.1
218,219,Hotel Rwanda,2004,2h 1m,8.1
219,220,Platoon,1986,2h,8.1
220,221,Terminator,1984,1h 47m,8.1
221,222,La pasión de Juana de Arco,1928,1h 50m,8.1
222,223,Antes del atardecer,2004,1h 20m,8.1
223,224,Jai Bhim,2021,2h 44m,8.7
224,225,El odio,1995,1h 38m,8.1
225,226,Los mejores años de nuestra vida,1946,2h 50m,8.1
226,227,El exorcista,1973,2h 2m,8.1
227,228,Rush,2013,2h 3m,8.1
228,229,"Network, un mundo implacable",1976,2h 1m,8.1
229,230,Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,8.1
230,231,Cuenta conmigo,1986,1h 29m,8.1
231,232,El mago de Oz,1939,1h 42m,8.1
232,233,Los Increíbles,2004,1h 55m,8.0
233,234,Hacia rutas salvajes,2007,2h 28m,8.1
234,235,Siempre a tu lado (Hachiko),2009,1h 33m,8.1
235,236,La doncella,2016,2h 25m,8.1
236,237,Mi padre y mi hijo,2005,1h 52m,8.2
237,238,Ser o no ser,1942,1h 39m,8.1
238,239,Sonrisas y lágrimas,1965,2h 52m,8.1
239,240,Las uvas de la ira,1940,2h 9m,8.1
240,241,Atrapado en el tiempo,1993,1h 41m,8.0
241,242,La batalla de Argel,1966,2h 1m,8.1
242,243,Amores perros,2000,2h 34m,8.1
243,244,Rebeca,1940,2h 10m,8.1
244,245,La leyenda del indomable,1967,2h 7m,8.1
245,246,El gigante de hierro,1999,1h 26m,8.1
246,247,Criadas y señoras,2011,2h 26m,8.1
247,248,Sucedió una noche,1934,1h 45m,8.1
248,249,Los cuatrocientos golpes,1959,1h 32m,8.1
249,250,Bailando con lobos,1990,3h 1m,8.0
