Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Non_Healthy_Fat,Unhealthy_BMI,Unhealthy_Fat
53,Female,68.0,1.7,181,139,57,1.06,663.0,HIIT,25.1,2.4,4,2,23.53,False,False,False
51,Female,56.3,1.5,182,142,66,1.43,914.0,Cardio,27.4,2.4,3,1,25.02,False,True,False
27,Female,58.0,1.79,164,143,73,1.39,994.0,Cardio,27.1,1.5,2,1,18.1,False,False,False
44,Female,48.0,1.76,189,124,52,0.88,491.0,Yoga,28.6,2.6,2,1,15.5,False,False,False
50,Female,69.7,1.72,198,135,66,1.24,753.0,Strength,27.3,2.0,4,2,23.56,False,False,False
52,Female,68.2,1.63,179,148,67,1.17,779.0,Strength,27.5,2.4,3,1,25.67,False,True,False
43,Female,73.0,1.59,191,158,67,1.31,931.0,Yoga,28.9,2.2,3,1,28.88,False,True,False
53,Female,52.4,1.57,171,149,71,1.34,898.0,HIIT,28.3,2.2,3,2,21.26,False,False,False
53,Female,47.8,1.76,164,149,74,1.06,711.0,HIIT,28.4,1.5,4,2,15.43,False,False,False
29,Female,68.7,1.72,171,168,62,1.08,907.0,Cardio,29.8,1.7,4,2,23.22,False,False,False
42,Female,46.6,1.77,184,139,63,0.61,382.0,Yoga,28.1,2.6,2,1,14.87,False,False,False
37,Female,55.6,1.57,182,123,53,0.97,597.0,Cardio,29.2,2.4,2,1,22.56,False,False,False
53,Female,68.1,1.55,164,131,65,1.41,831.0,HIIT,26.1,2.2,4,2,28.35,False,True,False
29,Female,60.0,1.62,181,161,69,0.85,684.0,Strength,28.1,1.9,2,1,22.86,False,False,False
24,Female,67.7,1.56,177,138,66,1.42,980.0,HIIT,27.0,2.1,3,2,27.82,False,True,False
31,Female,48.2,1.65,163,166,60,1.1,913.0,Cardio,26.1,2.5,2,1,17.7,False,False,False
33,Female,74.2,1.76,192,145,66,1.15,834.0,Strength,25.9,1.5,4,2,23.95,False,False,False
52,Female,65.9,1.52,188,139,53,1.27,794.0,Cardio,27.0,2.3,4,2,28.52,False,True,False
29,Female,54.9,1.52,172,123,72,1.48,910.0,Strength,27.0,2.0,3,1,23.76,False,False,False
57,Female,61.9,1.52,168,143,51,0.92,592.0,HIIT,28.4,2.6,3,1,26.79,False,True,False
44,Female,72.1,1.66,176,152,55,1.4,958.0,Strength,27.0,2.5,2,1,26.16,False,True,False
54,Female,75.6,1.72,194,154,60,0.97,672.0,Cardio,26.4,1.9,3,1,25.55,False,True,False
18,Female,65.3,1.55,184,161,59,1.42,1143.0,Yoga,28.5,2.2,3,2,27.18,False,True,False
45,Female,41.2,1.58,195,168,71,1.47,1111.0,HIIT,28.7,2.6,2,1,16.5,False,False,False
45,Female,73.0,1.75,184,148,50,1.14,759.0,Yoga,26.6,2.0,4,2,23.84,False,False,False
50,Female,42.7,1.53,168,155,65,1.41,983.0,Strength,28.4,2.4,4,2,18.24,False,False,False
33,Female,56.4,1.54,165,155,63,1.06,822.0,Strength,29.2,1.5,3,1,23.78,False,False,False
28,Female,71.3,1.67,192,140,63,1.46,1022.0,Strength,28.1,1.5,4,2,25.57,False,True,False
52,Female,70.6,1.69,165,135,65,1.36,826.0,HIIT,26.1,2.2,3,1,24.72,False,False,False
37,Female,73.5,1.69,174,131,66,0.54,354.0,Cardio,27.5,1.6,2,1,25.73,False,True,False
58,Female,74.6,1.68,173,159,60,1.03,737.0,Yoga,26.0,2.0,4,2,26.43,False,True,False
31,Female,63.2,1.8,166,157,66,0.59,463.0,Cardio,25.5,2.6,2,1,19.51,False,False,False
33,Female,53.7,1.66,191,129,72,1.25,806.0,HIIT,29.5,2.5,3,1,19.49,False,False,False
27,Female,63.7,1.52,195,120,60,1.19,714.0,Strength,25.4,2.1,4,2,27.57,False,True,False
25,Female,47.2,1.71,185,142,56,0.89,632.0,Cardio,26.0,2.5,2,1,16.14,False,False,False
45,Female,58.2,1.7,168,160,53,0.95,684.0,Yoga,26.8,2.0,3,1,20.14,False,False,False
53,Female,73.5,1.55,194,153,72,1.17,806.0,HIIT,26.3,2.1,4,2,30.59,False,True,False
25,Female,64.4,1.71,179,167,61,1.12,935.0,HIIT,27.1,1.8,3,1,22.02,False,False,False
45,Female,73.5,1.74,181,152,50,1.18,807.0,Cardio,30.0,2.3,4,2,24.28,False,False,False
58,Female,46.1,1.67,187,129,70,1.28,743.0,Yoga,25.3,1.8,4,2,16.53,False,False,False
46,Female,47.9,1.72,171,147,57,1.41,933.0,Cardio,26.3,2.0,3,1,16.19,False,False,False
35,Female,78.9,1.64,196,164,70,1.28,1050.0,Cardio,25.3,2.6,4,2,29.34,False,True,False
47,Female,43.4,1.62,179,132,64,0.51,303.0,Cardio,25.3,2.3,3,1,16.54,False,False,False
43,Female,53.1,1.59,187,136,72,0.82,502.0,Strength,29.5,2.5,2,1,21.0,False,False,False
18,Female,72.2,1.54,194,125,54,0.97,606.0,Strength,27.1,1.7,2,1,30.44,False,True,False
38,Female,56.3,1.6,180,142,53,1.21,859.0,Yoga,28.8,1.9,4,2,21.99,False,False,False
31,Female,58.2,1.73,191,131,70,1.17,766.0,Yoga,25.8,1.8,3,2,19.45,False,False,False
30,Female,62.7,1.67,164,162,70,1.02,826.0,HIIT,26.1,2.6,4,2,22.48,False,False,False
51,Female,54.7,1.53,167,135,69,1.11,674.0,HIIT,26.8,2.0,4,2,23.37,False,False,False
29,Female,71.8,1.55,190,120,68,1.2,720.0,Cardio,26.3,2.4,4,2,29.89,False,True,False
22,Female,48.7,1.76,165,167,66,1.37,1144.0,HIIT,29.0,2.2,4,2,15.72,False,False,False
47,Female,40.0,1.76,173,132,63,0.8,475.0,Strength,26.7,2.2,3,1,12.91,False,False,False
54,Female,43.8,1.65,171,129,61,1.29,749.0,Yoga,26.6,1.7,4,2,16.09,False,False,False
55,Female,70.8,1.62,166,162,68,0.54,394.0,Strength,26.0,1.8,3,1,26.98,False,True,False
34,Female,46.9,1.61,196,161,69,1.02,821.0,Strength,28.6,1.7,3,2,18.09,False,False,False
22,Female,72.1,1.62,183,123,59,1.38,849.0,HIIT,25.1,2.1,3,1,27.47,False,True,False
30,Female,77.9,1.77,166,130,62,1.41,916.0,Cardio,27.9,2.6,4,2,24.87,False,False,False
28,Female,69.6,1.58,182,135,50,1.49,1006.0,Cardio,27.8,2.0,3,2,27.88,False,True,False
48,Female,68.2,1.69,170,159,73,0.75,537.0,HIIT,28.4,2.5,3,1,23.88,False,False,False
28,Female,79.6,1.59,181,130,54,1.49,968.0,HIIT,28.2,1.5,3,2,31.49,False,True,False
25,Female,57.7,1.58,188,145,52,1.36,986.0,Yoga,25.7,2.2,3,2,23.11,False,False,False
20,Female,46.5,1.68,187,145,72,0.91,660.0,HIIT,27.9,2.4,2,1,16.48,False,False,False
38,Female,70.3,1.52,164,144,66,1.19,857.0,Yoga,25.6,2.0,4,2,30.43,False,True,False
22,Female,44.8,1.72,166,132,54,1.48,977.0,Cardio,28.6,1.8,4,2,15.14,False,False,False
53,Female,44.7,1.79,164,160,72,1.34,965.0,Yoga,26.7,2.1,3,2,13.95,False,False,False
45,Female,50.4,1.79,182,130,59,0.74,433.0,Cardio,27.7,2.5,2,1,15.73,False,False,False
19,Female,49.1,1.68,193,164,58,1.42,1164.0,Cardio,25.3,2.6,4,2,17.4,False,False,False
40,Female,72.2,1.6,173,130,67,0.87,566.0,Yoga,29.2,1.9,3,1,28.2,False,True,False
42,Female,72.9,1.62,175,139,67,1.17,732.0,Yoga,25.7,2.0,4,2,27.78,False,True,False
43,Female,68.6,1.52,173,137,68,1.42,875.0,Yoga,28.1,2.6,4,2,29.69,False,True,False
42,Female,56.7,1.53,192,149,74,1.07,717.0,Strength,27.4,1.9,3,1,24.22,False,False,False
34,Female,64.5,1.78,169,144,64,1.33,958.0,Yoga,27.8,1.8,4,2,20.36,False,False,False
58,Female,56.5,1.7,170,122,57,0.74,406.0,Yoga,27.0,2.7,2,1,19.55,False,False,False
53,Female,55.8,1.55,171,141,54,1.12,711.0,Strength,27.0,1.8,4,2,23.23,False,False,False
58,Female,75.4,1.78,161,140,63,1.05,662.0,Cardio,26.0,2.5,4,2,23.8,False,False,False
50,Female,61.6,1.75,192,166,74,1.22,911.0,Strength,25.5,2.2,4,2,20.11,False,False,False
47,Female,41.6,1.58,160,163,68,1.03,756.0,Yoga,26.6,2.1,4,2,16.66,False,False,False
48,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,26.1,2.0,4,2,26.99,False,True,False
41,Female,66.8,1.74,164,149,57,1.34,898.0,Yoga,29.2,2.3,3,1,22.06,False,False,False
20,Female,71.3,1.58,167,167,54,1.07,893.0,HIIT,25.4,1.5,3,2,28.56,False,True,False
54,Female,67.5,1.54,182,140,50,0.72,454.0,Cardio,25.2,1.5,3,1,28.46,False,True,False
41,Female,64.9,1.57,166,123,53,1.04,576.0,HIIT,25.9,2.4,4,2,26.33,False,True,False
23,Female,40.9,1.75,167,145,61,0.82,594.0,Yoga,25.2,2.1,3,1,13.36,False,False,False
37,Female,73.3,1.74,188,141,65,1.03,726.0,Cardio,25.5,2.4,3,2,24.21,False,False,False
29,Female,49.0,1.57,168,132,53,1.33,878.0,Yoga,26.5,2.6,3,2,19.88,False,False,False
31,Female,53.5,1.76,172,133,69,1.22,811.0,Strength,27.6,1.8,4,2,17.27,False,False,False
54,Female,70.1,1.52,180,139,65,0.76,475.0,HIIT,26.6,2.1,2,1,30.34,False,True,False
50,Female,70.4,1.55,160,143,58,0.73,470.0,Strength,29.9,2.7,2,1,29.3,False,True,False
19,Female,65.7,1.58,170,121,57,1.46,883.0,Cardio,25.9,1.9,3,2,26.32,False,True,False
57,Female,51.9,1.57,169,151,67,1.05,713.0,HIIT,29.1,2.6,3,2,21.06,False,False,False
37,Female,66.9,1.75,184,127,50,1.38,876.0,Strength,26.5,2.1,4,2,21.84,False,False,False
18,Female,66.9,1.75,170,122,61,0.94,573.0,Yoga,26.8,1.7,2,1,21.84,False,False,False
31,Female,77.4,1.71,190,137,52,1.26,863.0,Cardio,26.2,1.8,4,2,26.47,False,True,False
29,Female,75.6,1.8,175,149,57,1.31,976.0,Yoga,25.7,1.9,4,2,23.33,False,False,False
28,Female,67.3,1.67,171,157,74,0.61,479.0,Strength,29.2,2.3,3,1,24.13,False,False,False
38,Female,45.2,1.68,193,144,58,1.01,727.0,HIIT,29.9,2.4,3,2,16.01,False,False,False
31,Female,53.3,1.64,183,141,70,0.57,402.0,Strength,29.4,2.4,3,1,19.82,False,False,False
25,Female,62.6,1.65,174,142,61,1.2,852.0,Cardio,27.9,2.2,3,1,22.99,False,False,False
31,Female,76.7,1.62,174,127,74,1.39,883.0,Yoga,28.1,2.3,4,2,29.23,False,True,False
34,Female,66.5,1.69,191,157,52,0.81,636.0,Cardio,28.1,2.3,3,1,23.28,False,False,False
57,Female,43.8,1.75,180,160,73,1.39,1001.0,Cardio,25.1,1.7,2,1,14.3,False,False,False
23,Female,44.1,1.62,196,122,58,0.58,354.0,Yoga,25.7,2.7,2,1,16.8,False,False,False
