Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Muscle_Mass_Percentage,BMR,BMI_Status,Fat_Status,Age_Group,Combined_Status,Muscle_Status,Interpretation,Incongruence_Flag
56,Male,48.3,1.87,165,156,51,0.68,525.0,HIIT,29.8,3.3,3,1,13.81,28.08,1314,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
38,Male,46.9,1.74,198,167,64,1.03,946.0,Strength,20.0,2.6,4,2,15.49,40.0,1335,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
40,Male,63.0,2.0,176,161,71,1.42,1257.0,Strength,26.8,2.9,4,2,15.75,32.940000000000005,1665,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
53,Male,68.5,1.97,194,139,69,1.3,894.0,HIIT,23.2,2.1,3,2,17.65,34.56000000000001,1650,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
26,Male,47.7,1.77,198,120,69,1.15,759.0,Strength,24.8,2.7,3,2,15.23,37.6,1429,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
50,Male,52.2,1.84,195,124,52,1.38,847.0,Strength,28.2,3.1,4,2,15.42,32.309999999999995,1386,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
30,Female,51.5,1.74,174,150,64,1.08,810.0,Strength,33.9,2.0,3,2,17.01,29.744999999999997,1332,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
22,Female,42.8,1.56,174,133,66,1.47,978.0,Strength,32.2,2.6,3,2,17.59,30.509999999999998,1231,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
30,Male,62.9,1.92,170,127,70,1.13,789.0,HIIT,25.2,3.6,2,1,17.06,33.660000000000004,1682,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
58,Male,52.0,1.79,173,169,52,1.12,937.0,HIIT,29.6,3.0,3,1,16.23,28.16,1314,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
34,Male,52.0,1.78,171,130,53,1.38,987.0,Strength,22.4,2.7,4,2,16.41,38.800000000000004,1446,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
