;Unnamed: 0;season;division;round;localTeam;visitorTeam;localGoals;visitorGoals;date;timestamp
63;26264;2005-06;1;7;Atletico de Bilbao;Sevilla;0;1;16/10/2005;1129413600
64;26265;2005-06;1;7;Betis;Getafe;1;0;16/10/2005;1129413600
65;26266;2005-06;1;7;Espanol;Cadiz;0;2;16/10/2005;1129413600
66;26267;2005-06;1;7;Mallorca;Santander;0;0;16/10/2005;1129413600
67;26268;2005-06;1;7;Osasuna;Celta de Vigo;2;0;16/10/2005;1129413600
68;26269;2005-06;1;7;Valencia;Malaga;2;1;16/10/2005;1129413600
69;26270;2005-06;1;7;Zaragoza;Real Sociedad;0;1;16/10/2005;1129413600
70;26271;2005-06;1;8;Barcelona;Osasuna;3;0;22/10/2005;1129932000
71;26272;2005-06;1;8;Sevilla;Alaves;2;0;22/10/2005;1129932000
72;26273;2005-06;1;8;Cadiz;Atletico de Bilbao;1;0;23/10/2005;1130018400
73;26274;2005-06;1;8;Celta de Vigo;Espanol;1;0;23/10/2005;1130018400
74;26275;2005-06;1;8;Getafe;Zaragoza;5;2;23/10/2005;1130018400
75;26276;2005-06;1;8;Malaga;Betis;5;0;23/10/2005;1130018400
76;26277;2005-06;1;8;Santander;Atletico de Madrid;0;1;23/10/2005;1130018400
77;26278;2005-06;1;8;Real Sociedad;Deportivo;2;0;23/10/2005;1130018400
78;26279;2005-06;1;8;Real Madrid;Valencia;1;2;23/10/2005;1130018400
79;26280;2005-06;1;8;Villarreal;Mallorca;3;0;23/10/2005;1130018400
80;26281;2005-06;1;9;Atletico de Bilbao;Celta de Vigo;1;1;29/10/2005;1130536800
81;26282;2005-06;1;9;Betis;Real Madrid;0;2;29/10/2005;1130536800
82;26283;2005-06;1;9;Atletico de Madrid;Villarreal;1;1;30/10/2005;1130623200
83;26284;2005-06;1;9;Barcelona;Real Sociedad;5;0;30/10/2005;1130623200
84;26285;2005-06;1;9;Alaves;Cadiz;0;0;30/10/2005;1130623200
85;26286;2005-06;1;9;Deportivo;Getafe;1;0;30/10/2005;1130623200
86;26287;2005-06;1;9;Mallorca;Sevilla;1;1;30/10/2005;1130623200
87;26288;2005-06;1;9;Osasuna;Espanol;2;0;30/10/2005;1130623200
88;26289;2005-06;1;9;Valencia;Santander;1;1;30/10/2005;1130623200
89;26290;2005-06;1;9;Zaragoza;Malaga;1;1;30/10/2005;1130623200
90;26291;2005-06;1;10;Espanol;Atletico de Bilbao;1;1;05/11/2005;1131145200
91;26292;2005-06;1;10;Real Sociedad;Osasuna;1;2;05/11/2005;1131145200
92;26293;2005-06;1;10;Villarreal;Valencia;1;0;05/11/2005;1131145200
93;26294;2005-06;1;10;Cadiz;Mallorca;1;2;06/11/2005;1131231600
94;26295;2005-06;1;10;Celta de Vigo;Alaves;2;1;06/11/2005;1131231600
95;26296;2005-06;1;10;Getafe;Barcelona;1;3;06/11/2005;1131231600
96;26297;2005-06;1;10;Malaga;Deportivo;1;1;06/11/2005;1131231600
97;26298;2005-06;1;10;Santander;Betis;1;1;06/11/2005;1131231600
98;26299;2005-06;1;10;Real Madrid;Zaragoza;1;0;06/11/2005;1131231600
99;26300;2005-06;1;10;Sevilla;Atletico de Madrid;0;0;06/11/2005;1131231600
100;26301;2005-06;1;11;Barcelona;Malaga;2;0;26/10/2005;1130277600
101;26302;2005-06;1;11;Betis;Villarreal;2;3;26/10/2005;1130277600
102;26303;2005-06;1;11;Deportivo;Real Madrid;3;1;26/10/2005;1130277600
103;26304;2005-06;1;11;Mallorca;Celta de Vigo;1;0;26/10/2005;1130277600
104;26305;2005-06;1;11;Osasuna;Atletico de Bilbao;3;2;26/10/2005;1130277600
105;26306;2005-06;1;11;Atletico de Madrid;Cadiz;3;0;27/10/2005;1130364000
106;26307;2005-06;1;11;Alaves;Espanol;1;1;27/10/2005;1130364000
107;26308;2005-06;1;11;Real Sociedad;Getafe;3;0;27/10/2005;1130364000
108;26309;2005-06;1;11;Valencia;Sevilla;0;2;27/10/2005;1130364000
109;26310;2005-06;1;11;Zaragoza;Santander;1;1;27/10/2005;1130364000
110;26311;2005-06;1;12;Getafe;Osasuna;0;0;19/11/2005;1132354800
111;26312;2005-06;1;12;Real Madrid;Barcelona;0;3;19/11/2005;1132354800
112;26313;2005-06;1;12;Sevilla;Betis;1;0;19/11/2005;1132354800
113;26314;2005-06;1;12;Villarreal;Zaragoza;0;0;19/11/2005;1132354800
114;26315;2005-06;1;12;Atletico de Bilbao;Alaves;0;2;20/11/2005;1132441200
115;26316;2005-06;1;12;Cadiz;Valencia;0;1;20/11/2005;1132441200
116;26317;2005-06;1;12;Celta de Vigo;Atletico de Madrid;2;1;20/11/2005;1132441200
117;26318;2005-06;1;12;Espanol;Mallorca;2;0;20/11/2005;1132441200
118;26319;2005-06;1;12;Malaga;Real Sociedad;3;1;20/11/2005;1132441200
119;26320;2005-06;1;12;Santander;Deportivo;0;3;20/11/2005;1132441200
120;26321;2005-06;1;13;Mallorca;Atletico de Bilbao;0;1;26/11/2005;1132959600
121;26322;2005-06;1;13;Valencia;Celta de Vigo;2;0;26/11/2005;1132959600
122;26323;2005-06;1;13;Atletico de Madrid;Espanol;1;1;27/11/2005;1133046000
123;26324;2005-06;1;13;Barcelona;Santander;4;1;27/11/2005;1133046000
124;26325;2005-06;1;13;Betis;Cadiz;1;1;27/11/2005;1133046000
125;26326;2005-06;1;13;Deportivo;Villarreal;0;2;27/11/2005;1133046000
126;26327;2005-06;1;13;Getafe;Malaga;3;2;27/11/2005;1133046000
127;26328;2005-06;1;13;Osasuna;Alaves;3;2;27/11/2005;1133046000
128;26329;2005-06;1;13;Real Sociedad;Real Madrid;2;2;27/11/2005;1133046000
129;26330;2005-06;1;13;Zaragoza;Sevilla;0;2;27/11/2005;1133046000
130;26331;2005-06;1;14;Atletico de Bilbao;Atletico de Madrid;1;1;03/12/2005;1133564400
131;26332;2005-06;1;14;Celta de Vigo;Betis;2;1;03/12/2005;1133564400
132;26333;2005-06;1;14;Real Madrid;Getafe;1;0;03/12/2005;1133564400
133;26334;2005-06;1;14;Cadiz;Zaragoza;1;2;04/12/2005;1133650800
134;26335;2005-06;1;14;Alaves;Mallorca;0;3;04/12/2005;1133650800
135;26336;2005-06;1;14;Espanol;Valencia;1;3;04/12/2005;1133650800
136;26337;2005-06;1;14;Malaga;Osasuna;1;2;04/12/2005;1133650800
137;26338;2005-06;1;14;Santander;Real Sociedad;2;2;04/12/2005;1133650800
138;26339;2005-06;1;14;Sevilla;Deportivo;0;2;04/12/2005;1133650800
139;26340;2005-06;1;14;Villarreal;Barcelona;0;2;04/12/2005;1133650800
140;26341;2005-06;1;15;Real Sociedad;Villarreal;1;3;10/12/2005;1134169200
141;26342;2005-06;1;15;Valencia;Atletico de Bilbao;1;1;10/12/2005;1134169200
142;26343;2005-06;1;15;Atletico de Madrid;Alaves;1;1;11/12/2005;1134255600
143;26344;2005-06;1;15;Barcelona;Sevilla;2;1;11/12/2005;1134255600
144;26345;2005-06;1;15;Betis;Espanol;0;0;11/12/2005;1134255600
145;26346;2005-06;1;15;Deportivo;Cadiz;1;0;11/12/2005;1134255600
146;26347;2005-06;1;15;Getafe;Santander;1;2;11/12/2005;1134255600
147;26348;2005-06;1;15;Malaga;Real Madrid;0;2;11/12/2005;1134255600
148;26349;2005-06;1;15;Osasuna;Mallorca;1;0;11/12/2005;1134255600
149;26350;2005-06;1;15;Zaragoza;Celta de Vigo;1;0;11/12/2005;1134255600
150;26351;2005-06;1;16;Atletico de Bilbao;Betis;2;0;17/12/2005;1134774000
151;26352;2005-06;1;16;Cadiz;Barcelona;1;3;17/12/2005;1134774000
152;26353;2005-06;1;16;Celta de Vigo;Deportivo;0;3;17/12/2005;1134774000
153;26354;2005-06;1;16;Alaves;Valencia;0;1;18/12/2005;1134860400
154;26355;2005-06;1;16;Espanol;Zaragoza;2;2;18/12/2005;1134860400
155;26356;2005-06;1;16;Mallorca;Atletico de Madrid;2;2;18/12/2005;1134860400
156;26357;2005-06;1;16;Santander;Malaga;1;1;18/12/2005;1134860400
157;26358;2005-06;1;16;Real Madrid;Osasuna;1;1;18/12/2005;1134860400
158;26359;2005-06;1;16;Sevilla;Real Sociedad;3;2;18/12/2005;1134860400
159;26360;2005-06;1;16;Villarreal;Getafe;2;1;18/12/2005;1134860400
160;26361;2005-06;1;17;Barcelona;Celta de Vigo;2;0;20/12/2005;1135033200
161;26362;2005-06;1;17;Betis;Alaves;3;0;21/12/2005;1135119600
162;26363;2005-06;1;17;Deportivo;Espanol;1;2;21/12/2005;1135119600
163;26364;2005-06;1;17;Getafe;Sevilla;1;0;21/12/2005;1135119600
164;26365;2005-06;1;17;Malaga;Villarreal;0;0;21/12/2005;1135119600
165;26366;2005-06;1;17;Real Sociedad;Cadiz;2;0;21/12/2005;1135119600
166;26367;2005-06;1;17;Real Madrid;Santander;1;2;21/12/2005;1135119600
167;26368;2005-06;1;17;Valencia;Mallorca;3;0;21/12/2005;1135119600
168;26369;2005-06;1;17;Zaragoza;Atletico de Bilbao;3;2;21/12/2005;1135119600
169;26370;2005-06;1;17;Osasuna;Atletico de Madrid;2;1;22/12/2005;1135206000
170;26371;2005-06;1;18;Atletico de Bilbao;Deportivo;1;2;07/01/2006;1136588400
171;26372;2005-06;1;18;Espanol;Barcelona;1;2;07/01/2006;1136588400
172;26373;2005-06;1;18;Atletico de Madrid;Valencia;0;0;08/01/2006;1136674800
173;26374;2005-06;1;18;Cadiz;Getafe;1;0;08/01/2006;1136674800
174;26375;2005-06;1;18;Celta de Vigo;Real Sociedad;1;0;08/01/2006;1136674800
175;26376;2005-06;1;18;Alaves;Zaragoza;0;2;08/01/2006;1136674800
176;26377;2005-06;1;18;Mallorca;Betis;1;1;08/01/2006;1136674800
177;26378;2005-06;1;18;Osasuna;Santander;1;1;08/01/2006;1136674800
178;26379;2005-06;1;18;Sevilla;Malaga;3;1;08/01/2006;1136674800
179;26380;2005-06;1;18;Villarreal;Real Madrid;0;0;08/01/2006;1136674800
180;26381;2005-06;1;19;Betis;Atletico de Madrid;1;0;14/01/2006;1137193200
181;26382;2005-06;1;19;Valencia;Osasuna;2;0;14/01/2006;1137193200
182;26383;2005-06;1;19;Barcelona;Atletico de Bilbao;2;1;15/01/2006;1137279600
183;26384;2005-06;1;19;Deportivo;Alaves;0;2;15/01/2006;1137279600
184;26385;2005-06;1;19;Getafe;Celta de Vigo;1;1;15/01/2006;1137279600
185;26386;2005-06;1;19;Malaga;Cadiz;0;2;15/01/2006;1137279600
186;26387;2005-06;1;19;Santander;Villarreal;1;0;15/01/2006;1137279600
187;26388;2005-06;1;19;Real Sociedad;Espanol;0;1;15/01/2006;1137279600
188;26389;2005-06;1;19;Real Madrid;Sevilla;4;2;15/01/2006;1137279600
189;26390;2005-06;1;19;Zaragoza;Mallorca;3;1;15/01/2006;1137279600
190;26391;2005-06;1;20;Real Madrid;Cadiz;3;1;21/01/2006;1137798000
191;26392;2005-06;1;20;Zaragoza;Atletico de Madrid;0;2;21/01/2006;1137798000
192;26393;2005-06;1;20;Barcelona;Alaves;2;0;22/01/2006;1137884400
193;26394;2005-06;1;20;Betis;Valencia;0;2;22/01/2006;1137884400
194;26395;2005-06;1;20;Deportivo;Mallorca;2;2;22/01/2006;1137884400
195;26396;2005-06;1;20;Getafe;Espanol;5;0;22/01/2006;1137884400
196;26397;2005-06;1;20;Malaga;Celta de Vigo;0;2;22/01/2006;1137884400
197;26398;2005-06;1;20;Santander;Sevilla;2;3;22/01/2006;1137884400
198;26399;2005-06;1;20;Real Sociedad;Atletico de Bilbao;3;3;22/01/2006;1137884400
199;26400;2005-06;1;20;Villarreal;Osasuna;2;1;22/01/2006;1137884400
200;26401;2005-06;1;21;Atletico de Bilbao;Getafe;1;0;28/01/2006;1138402800
201;26402;2005-06;1;21;Atletico de Madrid;Deportivo;3;2;28/01/2006;1138402800
202;26403;2005-06;1;21;Cadiz;Santander;1;1;28/01/2006;1138402800
203;26404;2005-06;1;21;Celta de Vigo;Real Madrid;1;2;29/01/2006;1138489200
204;26405;2005-06;1;21;Alaves;Real Sociedad;3;1;29/01/2006;1138489200
205;26406;2005-06;1;21;Espanol;Malaga;3;1;29/01/2006;1138489200
206;26407;2005-06;1;21;Mallorca;Barcelona;0;3;29/01/2006;1138489200
207;26408;2005-06;1;21;Osasuna;Betis;0;2;29/01/2006;1138489200
208;26409;2005-06;1;21;Sevilla;Villarreal;2;0;29/01/2006;1138489200
209;26410;2005-06;1;21;Valencia;Zaragoza;2;2;29/01/2006;1138489200
210;26411;2005-06;1;22;Deportivo;Valencia;0;1;04/02/2006;1139007600
211;26412;2005-06;1;22;Malaga;Atletico de Bilbao;2;1;04/02/2006;1139007600
212;26413;2005-06;1;22;Real Madrid;Espanol;4;0;04/02/2006;1139007600
213;26414;2005-06;1;22;Barcelona;Atletico de Madrid;1;3;05/02/2006;1139094000
214;26415;2005-06;1;22;Getafe;Alaves;2;2;05/02/2006;1139094000
215;26416;2005-06;1;22;Santander;Celta de Vigo;0;1;05/02/2006;1139094000
216;26417;2005-06;1;22;Real Sociedad;Mallorca;2;1;05/02/2006;1139094000
217;26418;2005-06;1;22;Sevilla;Osasuna;0;1;05/02/2006;1139094000
218;26419;2005-06;1;22;Villarreal;Cadiz;1;1;05/02/2006;1139094000
219;26420;2005-06;1;22;Zaragoza;Betis;4;3;05/02/2006;1139094000
220;26421;2005-06;1;23;Atletico de Bilbao;Real Madrid;0;2;11/02/2006;1139612400
221;26422;2005-06;1;23;Cadiz;Sevilla;0;4;11/02/2006;1139612400
222;26423;2005-06;1;23;Osasuna;Zaragoza;1;1;11/02/2006;1139612400
223;26424;2005-06;1;23;Atletico de Madrid;Real Sociedad;1;0;12/02/2006;1139698800
224;26425;2005-06;1;23;Betis;Deportivo;0;1;12/02/2006;1139698800
225;26426;2005-06;1;23;Celta de Vigo;Villarreal;1;0;12/02/2006;1139698800
226;26427;2005-06;1;23;Alaves;Malaga;3;2;12/02/2006;1139698800
227;26428;2005-06;1;23;Espanol;Santander;0;2;12/02/2006;1139698800
228;26429;2005-06;1;23;Mallorca;Getafe;1;1;12/02/2006;1139698800
229;26430;2005-06;1;23;Valencia;Barcelona;1;0;12/02/2006;1139698800
230;26431;2005-06;1;24;Barcelona;Betis;5;1;18/02/2006;1140217200
231;26432;2005-06;1;24;Real Madrid;Alaves;3;0;18/02/2006;1140217200
232;26433;2005-06;1;24;Sevilla;Celta de Vigo;1;0;18/02/2006;1140217200
233;26434;2005-06;1;24;Villarreal;Espanol;4;0;18/02/2006;1140217200
234;26435;2005-06;1;24;Cadiz;Osasuna;1;3;19/02/2006;1140303600
235;26436;2005-06;1;24;Deportivo;Zaragoza;1;1;19/02/2006;1140303600
236;26437;2005-06;1;24;Getafe;Atletico de Madrid;0;3;19/02/2006;1140303600
237;26438;2005-06;1;24;Malaga;Mallorca;0;2;19/02/2006;1140303600
238;26439;2005-06;1;24;Santander;Atletico de Bilbao;0;1;19/02/2006;1140303600
239;26440;2005-06;1;24;Real Sociedad;Valencia;1;2;19/02/2006;1140303600
240;26441;2005-06;1;25;Atletico de Madrid;Malaga;5;0;25/02/2006;1140822000
241;26442;2005-06;1;25;Zaragoza;Barcelona;0;2;25/02/2006;1140822000
242;26443;2005-06;1;25;Atletico de Bilbao;Villarreal;1;1;26/02/2006;1140908400
243;26444;2005-06;1;25;Betis;Real Sociedad;2;0;26/02/2006;1140908400
244;26445;2005-06;1;25;Celta de Vigo;Cadiz;2;0;26/02/2006;1140908400
245;26446;2005-06;1;25;Alaves;Santander;2;2;26/02/2006;1140908400
246;26447;2005-06;1;25;Espanol;Sevilla;5;0;26/02/2006;1140908400
247;26448;2005-06;1;25;Mallorca;Real Madrid;2;1;26/02/2006;1140908400
248;26449;2005-06;1;25;Osasuna;Deportivo;1;2;26/02/2006;1140908400
249;26450;2005-06;1;25;Valencia;Getafe;1;1;26/02/2006;1140908400
250;26451;2005-06;1;26;Barcelona;Deportivo;3;2;04/03/2006;1141426800
251;26452;2005-06;1;26;Cadiz;Espanol;2;0;04/03/2006;1141426800
252;26453;2005-06;1;26;Real Madrid;Atletico de Madrid;2;1;04/03/2006;1141426800
253;26454;2005-06;1;26;Villarreal;Alaves;3;2;04/03/2006;1141426800
254;26455;2005-06;1;26;Celta de Vigo;Osasuna;2;0;05/03/2006;1141513200
255;26456;2005-06;1;26;Getafe;Betis;1;0;05/03/2006;1141513200
256;26457;2005-06;1;26;Malaga;Valencia;0;0;05/03/2006;1141513200
257;26458;2005-06;1;26;Santander;Mallorca;0;0;05/03/2006;1141513200
258;26459;2005-06;1;26;Real Sociedad;Zaragoza;1;3;05/03/2006;1141513200
259;26460;2005-06;1;26;Sevilla;Atletico de Bilbao;2;1;05/03/2006;1141513200
260;26461;2005-06;1;27;Deportivo;Real Sociedad;0;1;11/03/2006;1142031600
261;26462;2005-06;1;27;Espanol;Celta de Vigo;2;0;11/03/2006;1142031600
262;26463;2005-06;1;27;Valencia;Real Madrid;0;0;11/03/2006;1142031600
263;26464;2005-06;1;27;Atletico de Bilbao;Cadiz;1;0;12/03/2006;1142118000
264;26465;2005-06;1;27;Atletico de Madrid;Santander;2;1;12/03/2006;1142118000
265;26466;2005-06;1;27;Betis;Malaga;1;1;12/03/2006;1142118000
266;26467;2005-06;1;27;Alaves;Sevilla;2;1;12/03/2006;1142118000
267;26468;2005-06;1;27;Mallorca;Villarreal;1;1;12/03/2006;1142118000
268;26469;2005-06;1;27;Osasuna;Barcelona;2;1;12/03/2006;1142118000
269;26470;2005-06;1;27;Zaragoza;Getafe;1;2;12/03/2006;1142118000
270;26471;2005-06;1;28;Getafe;Deportivo;1;2;18/03/2006;1142636400
271;26472;2005-06;1;28;Real Sociedad;Barcelona;0;2;18/03/2006;1142636400
272;26473;2005-06;1;28;Villarreal;Atletico de Madrid;1;1;18/03/2006;1142636400
273;26474;2005-06;1;28;Cadiz;Alaves;0;0;19/03/2006;1142722800
274;26475;2005-06;1;28;Celta de Vigo;Atletico de Bilbao;0;1;19/03/2006;1142722800
275;26476;2005-06;1;28;Espanol;Osasuna;2;4;19/03/2006;1142722800
276;26477;2005-06;1;28;Malaga;Zaragoza;0;1;19/03/2006;1142722800
277;26478;2005-06;1;28;Santander;Valencia;2;1;19/03/2006;1142722800
278;26479;2005-06;1;28;Real Madrid;Betis;0;0;19/03/2006;1142722800
279;26480;2005-06;1;28;Sevilla;Mallorca;1;1;19/03/2006;1142722800
280;26481;2005-06;1;29;Barcelona;Getafe;3;1;21/03/2006;1142895600
281;26482;2005-06;1;29;Atletico de Bilbao;Espanol;1;1;22/03/2006;1142982000
282;26483;2005-06;1;29;Betis;Santander;1;0;22/03/2006;1142982000
283;26484;2005-06;1;29;Alaves;Celta de Vigo;1;0;22/03/2006;1142982000
284;26485;2005-06;1;29;Deportivo;Malaga;2;1;22/03/2006;1142982000
285;26486;2005-06;1;29;Mallorca;Cadiz;1;0;22/03/2006;1142982000
286;26487;2005-06;1;29;Osasuna;Real Sociedad;2;0;22/03/2006;1142982000
287;26488;2005-06;1;29;Valencia;Villarreal;1;1;22/03/2006;1142982000
288;26489;2005-06;1;29;Zaragoza;Real Madrid;1;1;22/03/2006;1142982000
289;26490;2005-06;1;29;Atletico de Madrid;Sevilla;0;1;23/03/2006;1143068400
290;26491;2005-06;1;30;Atletico de Bilbao;Osasuna;1;0;25/03/2006;1143241200
291;26492;2005-06;1;30;Malaga;Barcelona;0;0;25/03/2006;1143241200
292;26493;2005-06;1;30;Villarreal;Betis;1;2;25/03/2006;1143241200
293;26494;2005-06;1;30;Cadiz;Atletico de Madrid;1;1;26/03/2006;1143327600
294;26495;2005-06;1;30;Celta de Vigo;Mallorca;2;0;26/03/2006;1143327600
295;26496;2005-06;1;30;Espanol;Alaves;0;0;26/03/2006;1143327600
296;26497;2005-06;1;30;Getafe;Real Sociedad;2;1;26/03/2006;1143327600
297;26498;2005-06;1;30;Santander;Zaragoza;0;0;26/03/2006;1143327600
298;26499;2005-06;1;30;Real Madrid;Deportivo;4;0;26/03/2006;1143327600
299;26500;2005-06;1;30;Sevilla;Valencia;1;0;26/03/2006;1143327600
300;26501;2005-06;1;31;Barcelona;Real Madrid;1;1;01/04/2006;1143842400
301;26502;2005-06;1;31;Real Sociedad;Malaga;3;0;01/04/2006;1143842400
302;26503;2005-06;1;31;Zaragoza;Villarreal;0;1;01/04/2006;1143842400
303;26504;2005-06;1;31;Atletico de Madrid;Celta de Vigo;0;3;02/04/2006;1143928800
304;26505;2005-06;1;31;Betis;Sevilla;2;1;02/04/2006;1143928800
305;26506;2005-06;1;31;Alaves;Atletico de Bilbao;0;0;02/04/2006;1143928800
306;26507;2005-06;1;31;Deportivo;Santander;2;0;02/04/2006;1143928800
307;26508;2005-06;1;31;Mallorca;Espanol;0;0;02/04/2006;1143928800
308;26509;2005-06;1;31;Osasuna;Getafe;0;4;02/04/2006;1143928800
309;26510;2005-06;1;31;Valencia;Cadiz;5;3;02/04/2006;1143928800
310;26511;2005-06;1;32;Cadiz;Betis;1;1;08/04/2006;1144447200
311;26512;2005-06;1;32;Celta de Vigo;Valencia;0;1;08/04/2006;1144447200
312;26513;2005-06;1;32;Malaga;Getafe;1;2;08/04/2006;1144447200
313;26514;2005-06;1;32;Real Madrid;Real Sociedad;1;1;08/04/2006;1144447200
314;26515;2005-06;1;32;Atletico de Bilbao;Mallorca;1;1;09/04/2006;1144533600
315;26516;2005-06;1;32;Alaves;Osasuna;1;2;09/04/2006;1144533600
316;26517;2005-06;1;32;Espanol;Atletico de Madrid;1;1;09/04/2006;1144533600
317;26518;2005-06;1;32;Santander;Barcelona;2;2;09/04/2006;1144533600
318;26519;2005-06;1;32;Sevilla;Zaragoza;1;1;09/04/2006;1144533600
319;26520;2005-06;1;32;Villarreal;Deportivo;1;1;09/04/2006;1144533600
320;26521;2005-06;1;33;Barcelona;Villarreal;1;0;14/04/2006;1144965600
321;26522;2005-06;1;33;Deportivo;Sevilla;0;0;15/04/2006;1145052000
322;26523;2005-06;1;33;Mallorca;Alaves;0;0;15/04/2006;1145052000
323;26524;2005-06;1;33;Real Sociedad;Santander;1;0;15/04/2006;1145052000
324;26525;2005-06;1;33;Atletico de Madrid;Atletico de Bilbao;1;0;16/04/2006;1145138400
